species,file,site,node,count,px_cm,include,base_x,base_y,tip_x,tip_y
cardinalis,LCARDAC23236-2-6_11_17,LCARDAC23236 (2),11,17,115,,,,,
cardinalis,LCARDAC23236-2-6_12_17,LCARDAC23236 (2),12,17,115,,,,,
cardinalis,LCARDAC23236-2-6_13_17,LCARDAC23236 (2),13,17,115,,,,,
cardinalis,LCARDAC23236-2-6_14_17,LCARDAC23236 (2),14,17,115,,,,,
cardinalis,LCARDAC23236-2-6_15_17,LCARDAC23236 (2),15,17,115,,,,,
cardinalis,LCARDAC23236-2-6_16_17,LCARDAC23236 (2),16,17,115,,,,,
cardinalis,LCARDAC23236-2-6_17_17,LCARDAC23236 (2),17,17,115,,,,,
cardinalis,LCARDAC23236-2-7_1_16,LCARDAC23236 (2),1,16,115,,,,,
cardinalis,LCARDAC23236-2-7_2_16,LCARDAC23236 (2),2,16,115,,,,,
cardinalis,LCARDAC23236-2-7_3_16,LCARDAC23236 (2),3,16,115,,,,,
cardinalis,LCARDAC23236-2-7_4_16,LCARDAC23236 (2),4,16,115,,,,,
cardinalis,LCARDAC23236-2-7_5_16,LCARDAC23236 (2),5,16,115,,,,,
cardinalis,LCARDAC23236-2-7_6_16,LCARDAC23236 (2),6,16,115,,,,,
cardinalis,LCARDAC23236-2-7_7_16,LCARDAC23236 (2),7,16,115,,,,,
cardinalis,LCARDAC23236-2-7_8_16,LCARDAC23236 (2),8,16,115,,,,,
cardinalis,LCARDAC23236-2-7_9_16,LCARDAC23236 (2),9,16,115,,,,,
cardinalis,LCARDAC23236-2-7_10_16,LCARDAC23236 (2),10,16,115,,,,,
cardinalis,LCARDAC23236-2-7_11_16,LCARDAC23236 (2),11,16,115,,,,,
cardinalis,LCARDAC23236-2-7_12_16,LCARDAC23236 (2),12,16,115,,,,,
cardinalis,LCARDAC23236-2-7_13_16,LCARDAC23236 (2),13,16,115,,,,,
cardinalis,LCARDAC23236-2-7_14_16,LCARDAC23236 (2),14,16,115,,,,,
cardinalis,LCARDAC23236-2-7_15_16,LCARDAC23236 (2),15,16,115,,,,,
